Frequency  	Gain       
64938163.16 	-83.2037119 
65084348.59 	-83.1432884 
65230863.11 	-83.0828566 
65377707.46 	-83.0224164 
65524882.37 	-82.9619676 
65672388.6  	-82.9015104 
65820226.89 	-82.8410446 
65968397.98 	-82.7805702 
66116902.62 	-82.7200871 
66265741.58 	-82.6595954 
66414915.59 	-82.599095  
66564425.41 	-82.5385858 
66714271.8  	-82.4780679 
66864455.52 	-82.4175411 
67014977.33 	-82.3570054 
67165837.98 	-82.2964608 
67317038.24 	-82.2359072 
67468578.88 	-82.1753447 
67620460.65 	-82.114773  
67772684.34 	-82.0541923 
67925250.7  	-81.9936025 
68078160.51 	-81.9330035 
68231414.55 	-81.8723953 
68385013.58 	-81.8117778 
68538958.39 	-81.751151  
68693249.75 	-81.6905149 
68847888.44 	-81.6298694 
69002875.24 	-81.5692144 
69158210.95 	-81.50855   
69313896.34 	-81.447876  
69469932.2  	-81.3871925 
69626319.32 	-81.3264993 
69783058.49 	-81.2657965 
69940150.5  	-81.205084  
70097596.15 	-81.1443618 
70255396.23 	-81.0836297 
70413551.55 	-81.0228879 
70572062.89 	-80.9621361 
70730931.07 	-80.9013744 
70890156.89 	-80.8406027 
71049741.14 	-80.779821  
71209684.65 	-80.7190292 
71369988.21 	-80.6582273 
71530652.63 	-80.5974152 
71691678.74 	-80.5365929 
71853067.34 	-80.4757604 
72014819.25 	-80.4149175 
72176935.29 	-80.3540643 
72339416.27 	-80.2932007 
72502263.03 	-80.2323266 
72665476.37 	-80.1714419 
72829057.14 	-80.1105468 
72993006.14 	-80.049641  
73157324.22 	-79.9887246 
73322012.21 	-79.9277974 
73487070.93 	-79.8668595 
73652501.23 	-79.8059108 
73818303.93 	-79.7449513 
73984479.88 	-79.6839808 
74151029.91 	-79.6229993 
74317954.88 	-79.5620069 
74485255.62 	-79.5010034 
74652932.97 	-79.4399887 
74820987.79 	-79.3789629 
74989420.93 	-79.3179259 
75158233.24 	-79.2568776 
75327425.57 	-79.1958179 
75496998.77 	-79.1347469 
75666953.71 	-79.0736644 
75837291.25 	-79.0125705 
76008012.24 	-78.951465  
76179117.54 	-78.8903479 
76350608.03 	-78.8292191 
76522484.57 	-78.7680786 
76694748.04 	-78.7069264 
76867399.29 	-78.6457623 
77040439.2  	-78.5845864 
77213868.65 	-78.5233985 
77387688.52 	-78.4621987 
77561899.69 	-78.4009867 
77736503.02 	-78.3397627 
77911499.42 	-78.2785266 
78086889.76 	-78.2172782 
78262674.93 	-78.1560175 
78438855.81 	-78.0947445 
78615433.31 	-78.0334591 
78792408.31 	-77.9721612 
78969781.7  	-77.9108508 
79147554.39 	-77.8495279 
79325727.28 	-77.7881923 
79504301.25 	-77.7268441 
79683277.22 	-77.665483  
79862656.1  	-77.6041092 
80042438.78 	-77.5427225 
80222626.18 	-77.4813229 
80403219.21 	-77.4199102 
80584218.78 	-77.3584846 
80765625.8  	-77.2970457 
80947441.2  	-77.2355938 
81129665.9  	-77.1741285 
81312300.81 	-77.11265   
81495346.85 	-77.0511581 
81678804.96 	-76.9896527 
81862676.07 	-76.9281338 
82046961.09 	-76.8666014 
82231660.97 	-76.8050554 
82416776.63 	-76.7434957 
82602309.02 	-76.6819222 
82788259.06 	-76.6203348 
82974627.71 	-76.5587336 
83161415.9  	-76.4971185 
83348624.58 	-76.4354893 
83536254.7  	-76.373846  
83724307.19 	-76.3121886 
83912783.02 	-76.2505169 
84101683.14 	-76.1888309 
84291008.5  	-76.1271306 
84480760.06 	-76.0654159 
84670938.78 	-76.0036866 
84861545.62 	-75.9419428 
85052581.54 	-75.8801844 
85244047.52 	-75.8184112 
85435944.51 	-75.7566233 
85628273.49 	-75.6948205 
85821035.43 	-75.6330028 
86014231.31 	-75.5711701 
86207862.1  	-75.5093223 
86401928.78 	-75.4474594 
86596432.34 	-75.3855813 
86791373.75 	-75.3236879 
86986754    	-75.2617791 
87182574.08 	-75.1998549 
87378834.99 	-75.1379153 
87575537.7  	-75.07596   
87772683.22 	-75.0139891 
87970272.55 	-74.9520025 
88168306.68 	-74.89      
88366786.61 	-74.8279817 
